Obj #,Photo # ,Subject,Date,Translation: only relevant for inscriptions ,Draft Context ,Relevant Links
1933.274,2_1933.275,Serpent or Sea Monster,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5728 

Wikidata:
 https://www.wikidata.org/wiki/Q49301458 "
1933.275,2_1933.275,Serpent or Sea Monster,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5729 

Wikidata: 
 https://www.wikidata.org/wiki/Q49301534 "
1933.266,2_1933.267,Female Face,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5719 

Wikidata:
https://www.wikidata.org/wiki/Q49300925  "
1933.267,2_1933.267,Female Face,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5720 

Wikidata:
 https://www.wikidata.org/wiki/Q49301003 "
1933.280,2_1933.281,Three Grape Clusters,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5735 

Wikidata: 
 https://www.wikidata.org/wiki/Q49301908 "
1933.281,2_1933.281,Three Grape Clusters,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/5736 

Wikidata:
https://www.wikidata.org/wiki/Q49301986  "
1933.278,2_1933.278,Three Pomegranates,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5732 

Wikidata:
https://www.wikidata.org/wiki/Q49301760"
1933.279,2_1933.278,Three Pomegranates,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5733  

Wikidata:
https://www.wikidata.org/wiki/Q49301837 "
1933.285,3_1933.287,Three Wheat Sheaves,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/5740 

Wikidata:
 https://www.wikidata.org/wiki/Q49302227"
1933.286,3_1933.287,Three Wheat Sheaves,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/5741 

Wikidata:
https://www.wikidata.org/wiki/Q49302289  "
1933.287,3_1933.287,Three Wheat Sheaves,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:  
https://artgallery.yale.edu/collections/objects/5742 

Wikidata:
https://www.wikidata.org/wiki/Q49302349 "
1933.276,2_1933.276,Four-Petaled Rose,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/5730 

Wikidata:
https://www.wikidata.org/wiki/Q49301603  "
1933.277,2_1933.276,Four-Petaled Rose,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5731 

Wikidata:
https://www.wikidata.org/wiki/Q49301687"
1933.282,5_1938.4883,Three Pine Cones,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/5737 

Wikidata:
https://www.wikidata.org/wiki/Q49302061  "
1933.283,5_1938.4883,Three Pine Cones,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/5738 

Wikidata:
https://www.wikidata.org/wiki/Q49302113 "
1933.284,5_1938.4883,Three Pine Cones,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery:
https://artgallery.yale.edu/collections/objects/5739 

Wikidata:
https://www.wikidata.org/wiki/Q49302173  "
1938.4883,5_1938.4883,Three Pine Cones,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/71341 

Wikidata: 
https://www.wikidata.org/wiki/Q49326945 "
1938.4884,5_1938.4883,Three Pine Cones,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery: 
https://artgallery.yale.edu/collections/objects/71347 

Wikidata: 
https://www.wikidata.org/wiki/Q49326983  "
1933.259,6_1933.262,Bird Inside Wreath,ca. 245 CE,"""This building was erected in the year five hundred and fifty six, which is the second year of Philip Julius Caesar, during the presbyterate of Samuel, the priest, son of Yedaya the archon. Now those who stood in charge of this word (were) Abraham [Abram], the treasurer, and Samuel the son of Saphara, and...the proselyte. With the willing spirit they began to build in the fifty-sixth year, and they sent to...and they made haste...and they worked in...Blessing from the elders and from all the children of...they worked and toiled. ...Peace to them and their wives and all their children."" 
Stern 2010, 488 (Fig 10, Tile A Noy's translation)","This dedication tells us when the synagogue was erected/rennovated, between 244 and 245 CE. The dedication mentions a number of elders by name as well as their role in the synagogue.  This dedication is written across two tiles (the second 1933.255). Most dedications found in religious settings are on the floor or walls, easy for people to see. The fact that this and other dedications in the synagogue are found on the ceiling may reflect how the congregation was more interested in having their good deeds recognized by the diety. ","Yale University Art Gallery 
https://artgallery.yale.edu/collections/objects/5711 

Wikidata: 
https://www.wikidata.org/wiki/Q49302739 "
